Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 13:32:10 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:32:10 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:32:10 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:32:10 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:32:10 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:32:18 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 13:34:13 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:34:13 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:34:13 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:34:13 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:34:13 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:35:40 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:35:40 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:35:40 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:35:40 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:35:40 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:35:53 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 13:35:53 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: KKL:9cbbf91b-a85e-480e-be7b-ec4ac3eb4f05,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:36:58 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:36:58 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:36:58 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:36:58 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:36:58 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:37:11 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:21:19 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:21:19 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 18:21:19 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 18:21:19 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 18:21:19 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:29:18 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:29:18 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 18:29:18 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 18:29:18 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 18:29:18 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:30:21 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:30:21 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 18:30:21 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 18:30:21 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 18:30:21 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:30:31 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:31:17 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:31:17 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 18:31:17 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 18:31:17 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 18:31:17 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:31:33 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:32:06 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:32:06 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 18:32:06 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 18:32:06 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 18:32:06 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:32:15 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 18:32:25 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:32:36 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:32:36 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: KKL:ce612356-db1f-4523-8c8b-c35bff35ebd0,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 18:34:42 EDT 2021,Cancelled booking (KKL:ce612356-db1f-4523-8c8b-c35bff35ebd0),CreateRoom,Booking Id: KKL:ce612356-db1f-4523-8c8b-c35bff35ebd0,true
Fri Oct 08 18:35:44 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:37:48 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:38:35 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 02-01-2021,true
Fri Oct 08 18:39:45 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 03-01-2021,true
Fri Oct 08 19:03:36 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 19:03:36 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 19:03:36 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 19:03:36 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 19:03:36 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 19:03:50 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 19:03:50 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: KKL:29cbc465-d91f-4c61-ab0d-165145f6a826,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 19:04:12 EDT 2021,0,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 20:30:38 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:30:39 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 20:30:39 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 20:30:39 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 20:30:39 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 20:51:44 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:51:44 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 20:51:44 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 20:51:44 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 20:51:44 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 20:52:40 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:52:40 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 20:52:40 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 20:52:40 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 20:52:40 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 20:53:47 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 20:54:04 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 20:54:53 EDT 2021,0,CreateRoom,Identifier: dvls1233 | Date: 01-01-2021,true
Fri Oct 08 20:54:53 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: KKL:04bb63a5-5fd8-479b-a78d-f5d50456a88f,CreateRoom,Identifier: dvls1233 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 20:55:04 EDT 2021,Booking (KKL:04bb63a5-5fd8-479b-a78d-f5d50456a88f) is reserved to another student,CreateRoom,Booking Id: KKL:04bb63a5-5fd8-479b-a78d-f5d50456a88f,false
Fri Oct 08 20:55:32 EDT 2021,Timeslot (10:00-10:30) does not exist on (02-01-2021),CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:00-10:30,false
Fri Oct 08 20:56:01 EDT 2021,1,CreateRoom,Identifier: dvls1233 | Date: 03-01-2021,true
Fri Oct 08 20:56:01 EDT 2021,Timeslot (11:00-11:30) has been booked | Booking ID: KKL:ac1abf59-a25a-4e4c-b2c1-71bfc8305648,CreateRoom,Identifier: dvls1233 | Room Number: 203 | Date: 03-01-2021 | Timeslot: 11:00-11:30,true
Fri Oct 08 20:56:17 EDT 2021,2,CreateRoom,Identifier: dvls1233 | Date: 04-01-2021,true
Fri Oct 08 20:56:17 EDT 2021,Timeslot (11:30-12:00) has been booked | Booking ID: KKL:90f7e578-63fa-4d30-9b6b-3d7a77385a13,CreateRoom,Identifier: dvls1233 | Room Number: 204 | Date: 04-01-2021 | Timeslot: 11:30-12:00,true
Fri Oct 08 20:56:29 EDT 2021,Timeslot (12:00-12:00) does not exist on (05-01-2021),CreateRoom,Identifier: dvls1233 | Room Number: 205 | Date: 05-01-2021 | Timeslot: 12:00-12:00,false
Fri Oct 08 20:56:43 EDT 2021,3,CreateRoom,Identifier: dvls1233 | Date: 05-01-2021,true
Fri Oct 08 20:56:43 EDT 2021,Unable to book room, maximum booking limit is reached,CreateRoom,Identifier: dvls1233 | Room Number: 205 | Date: 05-01-2021 | Timeslot: 12:00-12:30,false
Fri Oct 08 20:57:05 EDT 2021,0,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 20:59:10 EDT 2021,Booking (KKL:90f7e578-63fa-4d30-9b6b-3d7a77385a13) is reserved to another student,CreateRoom,Booking Id: KKL:90f7e578-63fa-4d30-9b6b-3d7a77385a13,false
Fri Oct 08 21:00:08 EDT 2021,0,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 21:32:34 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 21:32:34 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 21:32:34 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 21:32:34 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 21:32:34 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 21:32:59 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Wed Oct 13 13:08:14 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Wed Oct 13 13:08:14 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Wed Oct 13 13:08:14 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Wed Oct 13 13:08:14 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Wed Oct 13 13:08:14 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Wed Oct 13 13:08:29 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
